flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
9,6,36540,19363,0,0,1
9,6,36540,19363,0,0,1
8,6,4068,51612,0,0,1
8,6,4068,51612,0,0,1
8,6,39359,31629,0,0,1
8,6,39359,31629,0,0,1
8,6,31901,60376,0,0,1
8,6,31901,60376,0,0,1
8,6,51906,23147,0,0,1
8,6,51906,23147,0,0,1
8,6,41730,22055,0,0,1
7,6,41730,22055,0,0,1
7,6,9236,32281,0,0,1
7,6,9236,32281,0,0,1
7,6,50141,44374,0,0,1
7,6,50141,44374,0,0,1
7,6,19491,3340,0,0,1
7,6,19491,3340,0,0,1
7,6,13491,164,0,0,1
7,6,13491,164,0,0,1
6,6,41806,24678,0,0,1
6,6,41806,24678,0,0,1
6,6,44060,15987,0,0,1
6,6,44060,15987,0,0,1
6,6,8877,3690,0,0,1
6,6,8877,3690,0,0,1
6,6,27809,60512,0,0,1
6,6,27809,60512,0,0,1
6,6,61463,16785,0,0,1
6,6,61463,16785,0,0,1
